question_id,poll_id,cycle,state,pollster_id,pollster,sponsor_ids,sponsors,display_name,sample_size,population,population_full,methodology,office_type,seat_number,seat_name,start_date,end_date,sponsor_candidate,internal,partisan,tracking,nationwide_batch,ranked_choice_reallocated,created_at,notes,url,stage,answer,candidate_name,candidate_party,pct
91576,56821,2018,Florida,1357,St. Pete Polls,972,Florida Politics,St. Pete Polls,1194,lv,lv,Automated Phone,U.S. House,15,District 15,2018-11-05,2018-11-05,NA,FALSE,NA,NA,FALSE,FALSE,2018-11-06T08:57:00Z,NA,http://stpetepolls.org/files/StPetePolls_2018_CD15_GEN_November5_WHB2.pdf,general,Carlson,Kristen Carlson,DEM,44.3
91576,56821,2018,Florida,1357,St. Pete Polls,972,Florida Politics,St. Pete Polls,1194,lv,lv,Automated Phone,U.S. House,15,District 15,2018-11-05,2018-11-05,NA,FALSE,NA,NA,FALSE,FALSE,2018-11-06T08:57:00Z,NA,http://stpetepolls.org/files/StPetePolls_2018_CD15_GEN_November5_WHB2.pdf,general,Spano,Ross Spano,REP,46.2
91455,56760,2018,South Dakota,1365,Change Research,NA,NA,Change Research,851,lv,lv,Online,U.S. House,1,District 1,2018-11-02,2018-11-04,NA,FALSE,NA,NA,FALSE,FALSE,2018-11-05T00:10:00Z,NA,https://twitter.com/ChangePolls/status/1059301248380223488,general,Bjorkman,Tim Bjorkman,DEM,41
91455,56760,2018,South Dakota,1365,Change Research,NA,NA,Change Research,851,lv,lv,Online,U.S. House,1,District 1,2018-11-02,2018-11-04,NA,FALSE,NA,NA,FALSE,FALSE,2018-11-05T00:10:00Z,NA,https://twitter.com/ChangePolls/status/1059301248380223488,general,Johnson,Dusty Johnson,REP,51
91455,56760,2018,South Dakota,1365,Change Research,NA,NA,Change Research,851,lv,lv,Online,U.S. House,1,District 1,2018-11-02,2018-11-04,NA,FALSE,NA,NA,FALSE,FALSE,2018-11-05T00:10:00Z,NA,https://twitter.com/ChangePolls/status/1059301248380223488,general,Wieczorek,Ronald Wieczorek,IND,3
91455,56760,2018,South Dakota,1365,Change Research,NA,NA,Change Research,851,lv,lv,Online,U.S. House,1,District 1,2018-11-02,2018-11-04,NA,FALSE,NA,NA,FALSE,FALSE,2018-11-05T00:10:00Z,NA,https://twitter.com/ChangePolls/status/1059301248380223488,general,Hendrickson,George D. Hendrickson,LIB,2
91456,56761,2018,Wyoming,1365,Change Research,NA,NA,Change Research,858,lv,lv,Online,U.S. House,1,District 1,2018-11-02,2018-11-04,NA,FALSE,NA,NA,FALSE,FALSE,2018-11-05T00:11:00Z,NA,https://twitter.com/ChangePolls/status/1059302464313188352,general,Hunter,Greg Hunter,DEM,28
91456,56761,2018,Wyoming,1365,Change Research,NA,NA,Change Research,858,lv,lv,Online,U.S. House,1,District 1,2018-11-02,2018-11-04,NA,FALSE,NA,NA,FALSE,FALSE,2018-11-05T00:11:00Z,NA,https://twitter.com/ChangePolls/status/1059302464313188352,general,Cheney,Liz Cheney,REP,55
91456,56761,2018,Wyoming,1365,Change Research,NA,NA,Change Research,858,lv,lv,Online,U.S. House,1,District 1,2018-11-02,2018-11-04,NA,FALSE,NA,NA,FALSE,FALSE,2018-11-05T00:11:00Z,NA,https://twitter.com/ChangePolls/status/1059302464313188352,general,Brubaker,Richard P. Brubaker,LIB,7
91456,56761,2018,Wyoming,1365,Change Research,NA,NA,Change Research,858,lv,lv,Online,U.S. House,1,District 1,2018-11-02,2018-11-04,NA,FALSE,NA,NA,FALSE,FALSE,2018-11-05T00:11:00Z,NA,https://twitter.com/ChangePolls/status/1059302464313188352,general,Cummings,Daniel Clyde Cummings,CON,6
91452,56762,2018,Montana,1365,Change Research,NA,NA,Change Research,879,lv,lv,Online,U.S. House,1,District 1,2018-11-02,2018-11-04,NA,FALSE,NA,NA,FALSE,FALSE,2018-11-05T00:09:00Z,NA,https://twitter.com/ChangePolls/status/1059294632163438592,general,Williams,Kathleen Williams,DEM,44
91452,56762,2018,Montana,1365,Change Research,NA,NA,Change Research,879,lv,lv,Online,U.S. House,1,District 1,2018-11-02,2018-11-04,NA,FALSE,NA,NA,FALSE,FALSE,2018-11-05T00:09:00Z,NA,https://twitter.com/ChangePolls/status/1059294632163438592,general,Gianforte,Greg Gianforte,REP,52
91452,56762,2018,Montana,1365,Change Research,NA,NA,Change Research,879,lv,lv,Online,U.S. House,1,District 1,2018-11-02,2018-11-04,NA,FALSE,NA,NA,FALSE,FALSE,2018-11-05T00:09:00Z,NA,https://twitter.com/ChangePolls/status/1059294632163438592,general,Swanson,Elinor Swanson,LIB,2
91510,56788,2018,Georgia,1365,Change Research,948,Health Care Voter,Change Research,395,lv,lv,Online,U.S. House,6,District 6,2018-11-02,2018-11-04,NA,FALSE,DEM,NA,FALSE,FALSE,2018-11-05T14:36:00Z,NA,https://healthcarevoter.org/new-house-polls-voters-cite-health-care-top-issue-ahead-midterm-elections/,general,McBath,Lucy McBath,DEM,51
91510,56788,2018,Georgia,1365,Change Research,948,Health Care Voter,Change Research,395,lv,lv,Online,U.S. House,6,District 6,2018-11-02,2018-11-04,NA,FALSE,DEM,NA,FALSE,FALSE,2018-11-05T14:36:00Z,NA,https://healthcarevoter.org/new-house-polls-voters-cite-health-care-top-issue-ahead-midterm-elections/,general,Handel,Karen Handel,REP,45
91513,56790,2018,North Carolina,1365,Change Research,948,Health Care Voter,Change Research,567,lv,lv,Online,U.S. House,13,District 13,2018-11-02,2018-11-04,NA,FALSE,DEM,NA,FALSE,FALSE,2018-11-05T14:37:00Z,NA,https://healthcarevoter.org/new-house-polls-voters-cite-health-care-top-issue-ahead-midterm-elections/,general,Manning,Kathy Ellen Manning,DEM,43
91513,56790,2018,North Carolina,1365,Change Research,948,Health Care Voter,Change Research,567,lv,lv,Online,U.S. House,13,District 13,2018-11-02,2018-11-04,NA,FALSE,DEM,NA,FALSE,FALSE,2018-11-05T14:37:00Z,NA,https://healthcarevoter.org/new-house-polls-voters-cite-health-care-top-issue-ahead-midterm-elections/,general,Budd,Theodore Paul Budd,REP,43
