question_id,poll_id,cycle,state,pollster_id,pollster,sponsor_ids,sponsors,display_name,sample_size,population,population_full,methodology,office_type,seat_number,seat_name,start_date,end_date,sponsor_candidate,internal,partisan,tracking,nationwide_batch,ranked_choice_reallocated,created_at,notes,url,stage,answer,candidate_name,candidate_party,pct
91852,56923,2018,Mississippi,1365,Change Research,NA,NA,Change Research,1211,lv,lv,Online,U.S. Senate,2,Class II,11/25/18,11/25/18,NA,FALSE,NA,NA,FALSE,FALSE,11/26/18 14:30,NA,https://twitter.com/ChangePolls/status/1067122676819406848,general,Espy,Mike Espy,DEM,46
91852,56923,2018,Mississippi,1365,Change Research,NA,NA,Change Research,1211,lv,lv,Online,U.S. Senate,2,Class II,11/25/18,11/25/18,NA,FALSE,NA,NA,FALSE,FALSE,11/26/18 14:30,NA,https://twitter.com/ChangePolls/status/1067122676819406848,general,Hyde-Smith,Cindy Hyde-Smith,REP,51
91850,56921,2018,Mississippi,1469,JMC Analytics / Bold Blue Campaigns,460,Red Racing Horses,JMC Analytics / Bold Blue Campaigns,684,lv,lv,Live Phone,U.S. Senate,2,Class II,11/19/18,11/24/18,NA,FALSE,NA,NA,FALSE,FALSE,11/25/18 15:03,"conducted November 19-21 and 23-24, 2018",https://rrhelections.com/index.php/2018/11/25/rrh-elections-mississippi-senate-runoff-poll-cindy-hyde-smith-r-leads-mike-espy-d-54-44/,general,Espy,Mike Espy,DEM,44
91850,56921,2018,Mississippi,1469,JMC Analytics / Bold Blue Campaigns,460,Red Racing Horses,JMC Analytics / Bold Blue Campaigns,684,lv,lv,Live Phone,U.S. Senate,2,Class II,11/19/18,11/24/18,NA,FALSE,NA,NA,FALSE,FALSE,11/25/18 15:03,"conducted November 19-21 and 23-24, 2018",https://rrhelections.com/index.php/2018/11/25/rrh-elections-mississippi-senate-runoff-poll-cindy-hyde-smith-r-leads-mike-espy-d-54-44/,general,Hyde-Smith,Cindy Hyde-Smith,REP,54
91569,56815,2018,Michigan,317,Mitchell Research & Communications,NA,NA,Mitchell Research & Communications,827,lv,lv,Automated Phone,U.S. Senate,0,Class I,11/5/18,11/5/18,NA,FALSE,NA,NA,FALSE,FALSE,11/6/18 01:02,NA,https://www.realclearpolitics.com/docs/Mitchell_Poll_Press_Release_11_5_18_A.pdf,general,Stabenow,Debbie Stabenow,DEM,49
91569,56815,2018,Michigan,317,Mitchell Research & Communications,NA,NA,Mitchell Research & Communications,827,lv,lv,Automated Phone,U.S. Senate,0,Class I,11/5/18,11/5/18,NA,FALSE,NA,NA,FALSE,FALSE,11/6/18 01:02,NA,https://www.realclearpolitics.com/docs/Mitchell_Poll_Press_Release_11_5_18_A.pdf,general,James,John James,REP,46
91583,56825,2018,Florida,1250,Trafalgar Group,NA,NA,Trafalgar Group,1484,lv,lv,Automated Phone,U.S. Senate,0,Class I,11/4/18,11/5/18,NA,FALSE,NA,NA,FALSE,FALSE,11/6/18 12:24,NA,https://drive.google.com/file/d/1ExmsCdRQYGvT7jRxcQx5NZlr7Gq40nWD/view,general,Nelson,Bill Nelson,DEM,47.3
91583,56825,2018,Florida,1250,Trafalgar Group,NA,NA,Trafalgar Group,1484,lv,lv,Automated Phone,U.S. Senate,0,Class I,11/4/18,11/5/18,NA,FALSE,NA,NA,FALSE,FALSE,11/6/18 12:24,NA,https://drive.google.com/file/d/1ExmsCdRQYGvT7jRxcQx5NZlr7Gq40nWD/view,general,Scott,Rick Scott,REP,49
91585,56827,2018,Arizona,1250,Trafalgar Group,NA,NA,Trafalgar Group,1217,lv,lv,Automated Phone,U.S. Senate,0,Class I,11/4/18,11/5/18,NA,FALSE,NA,NA,FALSE,FALSE,11/6/18 13:43,NA,https://drive.google.com/file/d/1DweH2M5vtRBruravV9LBks-ef5QgJK1b/view,general,Sinema,Kyrsten Sinema,DEM,45.3
91585,56827,2018,Arizona,1250,Trafalgar Group,NA,NA,Trafalgar Group,1217,lv,lv,Automated Phone,U.S. Senate,0,Class I,11/4/18,11/5/18,NA,FALSE,NA,NA,FALSE,FALSE,11/6/18 13:43,NA,https://drive.google.com/file/d/1DweH2M5vtRBruravV9LBks-ef5QgJK1b/view,general,McSally,Martha McSally,REP,47.4
91571,56817,2018,Texas,1250,Trafalgar Group,NA,NA,Trafalgar Group,2135,lv,lv,Automated Phone,U.S. Senate,0,Class I,11/3/18,11/5/18,NA,FALSE,NA,NA,FALSE,FALSE,11/6/18 06:40,NA,https://drive.google.com/file/d/18h31Oi90C0teXatPo1CQgpuKnee-MscF/view,general,O'Rourke,Beto O'Rourke,DEM,43.2
91571,56817,2018,Texas,1250,Trafalgar Group,NA,NA,Trafalgar Group,2135,lv,lv,Automated Phone,U.S. Senate,0,Class I,11/3/18,11/5/18,NA,FALSE,NA,NA,FALSE,FALSE,11/6/18 06:40,NA,https://drive.google.com/file/d/18h31Oi90C0teXatPo1CQgpuKnee-MscF/view,general,Cruz,Ted Cruz,REP,52.1
91590,56829,2018,Arizona,1416,Harris Interactive,747,Auto Alliance,Harris Interactive,600,lv,lv,IVR/Online,U.S. Senate,0,Class I,11/3/18,11/5/18,NA,FALSE,NA,TRUE,FALSE,FALSE,11/6/18 16:48,NA,https://www.alliancenrfpoll.com/,general,Sinema,Kyrsten Sinema,DEM,48.6
91590,56829,2018,Arizona,1416,Harris Interactive,747,Auto Alliance,Harris Interactive,600,lv,lv,IVR/Online,U.S. Senate,0,Class I,11/3/18,11/5/18,NA,FALSE,NA,TRUE,FALSE,FALSE,11/6/18 16:48,NA,https://www.alliancenrfpoll.com/,general,McSally,Martha McSally,REP,44
91591,56830,2018,Florida,1416,Harris Interactive,747,Auto Alliance,Harris Interactive,600,lv,lv,IVR/Online,U.S. Senate,0,Class I,11/3/18,11/5/18,NA,FALSE,NA,TRUE,FALSE,FALSE,11/6/18 16:48,NA,https://www.alliancenrfpoll.com/,general,Nelson,Bill Nelson,DEM,47.6
