ContractID,LongName,Date,Open,Low,High,Close,Volume
12819,Will a Dem candidate win the 2018 House of Reps race in ME's 2nd district?,10/10/2018,,,,,0
12819,Will a Dem candidate win the 2018 House of Reps race in ME's 2nd district?,10/11/2018,0.750000,0.490000,0.750000,0.490000,2
12819,Will a Dem candidate win the 2018 House of Reps race in ME's 2nd district?,10/12/2018,0.490000,0.490000,0.490000,0.490000,1
12819,Will a Dem candidate win the 2018 House of Reps race in ME's 2nd district?,10/13/2018,0.490000,0.490000,0.490000,0.490000,0
12819,Will a Dem candidate win the 2018 House of Reps race in ME's 2nd district?,10/14/2018,0.490000,0.300000,0.490000,0.300000,23
12819,Will a Dem candidate win the 2018 House of Reps race in ME's 2nd district?,10/15/2018,0.300000,0.300000,0.470000,0.470000,217
12819,Will a Dem candidate win the 2018 House of Reps race in ME's 2nd district?,10/16/2018,0.470000,0.410000,0.490000,0.490000,360
12819,Will a Dem candidate win the 2018 House of Reps race in ME's 2nd district?,10/17/2018,0.490000,0.370000,0.490000,0.370000,349
12819,Will a Dem candidate win the 2018 House of Reps race in ME's 2nd district?,10/18/2018,0.370000,0.370000,0.480000,0.480000,182
12819,Will a Dem candidate win the 2018 House of Reps race in ME's 2nd district?,10/19/2018,0.480000,0.380000,0.500000,0.380000,527
12819,Will a Dem candidate win the 2018 House of Reps race in ME's 2nd district?,10/20/2018,0.380000,0.380000,0.390000,0.380000,525
12819,Will a Dem candidate win the 2018 House of Reps race in ME's 2nd district?,10/21/2018,0.380000,0.380000,0.500000,0.500000,180
12819,Will a Dem candidate win the 2018 House of Reps race in ME's 2nd district?,10/22/2018,0.500000,0.390000,0.500000,0.430000,33
12819,Will a Dem candidate win the 2018 House of Reps race in ME's 2nd district?,10/23/2018,0.430000,0.430000,0.440000,0.440000,84
12819,Will a Dem candidate win the 2018 House of Reps race in ME's 2nd district?,10/24/2018,0.440000,0.430000,0.490000,0.490000,26
12819,Will a Dem candidate win the 2018 House of Reps race in ME's 2nd district?,10/25/2018,0.490000,0.490000,0.490000,0.490000,22
12819,Will a Dem candidate win the 2018 House of Reps race in ME's 2nd district?,10/26/2018,0.490000,0.450000,0.490000,0.460000,2
12819,Will a Dem candidate win the 2018 House of Reps race in ME's 2nd district?,10/27/2018,0.460000,0.460000,0.460000,0.460000,0
12819,Will a Dem candidate win the 2018 House of Reps race in ME's 2nd district?,10/28/2018,0.460000,0.460000,0.460000,0.460000,0
12819,Will a Dem candidate win the 2018 House of Reps race in ME's 2nd district?,10/29/2018,0.460000,0.460000,0.500000,0.500000,20
12819,Will a Dem candidate win the 2018 House of Reps race in ME's 2nd district?,10/30/2018,0.500000,0.500000,0.550000,0.550000,192
12819,Will a Dem candidate win the 2018 House of Reps race in ME's 2nd district?,10/31/2018,0.550000,0.510000,0.550000,0.520000,306
12819,Will a Dem candidate win the 2018 House of Reps race in ME's 2nd district?,11/01/2018,0.520000,0.520000,0.520000,0.520000,10
12819,Will a Dem candidate win the 2018 House of Reps race in ME's 2nd district?,11/02/2018,0.520000,0.520000,0.520000,0.520000,0
12819,Will a Dem candidate win the 2018 House of Reps race in ME's 2nd district?,11/03/2018,0.520000,0.520000,0.600000,0.600000,194
12819,Will a Dem candidate win the 2018 House of Reps race in ME's 2nd district?,11/04/2018,0.600000,0.530000,0.600000,0.600000,5
12819,Will a Dem candidate win the 2018 House of Reps race in ME's 2nd district?,11/05/2018,0.600000,0.530000,0.650000,0.650000,201
12819,Will a Dem candidate win the 2018 House of Reps race in ME's 2nd district?,11/06/2018,0.650000,0.520000,0.990000,0.750000,1124
12819,Will a Dem candidate win the 2018 House of Reps race in ME's 2nd district?,11/07/2018,0.750000,0.310000,0.950000,0.660000,7663
12819,Will a Dem candidate win the 2018 House of Reps race in ME's 2nd district?,11/08/2018,0.660000,0.650000,0.900000,0.850000,2899
12819,Will a Dem candidate win the 2018 House of Reps race in ME's 2nd district?,11/09/2018,0.850000,0.830000,0.920000,0.880000,4159
12819,Will a Dem candidate win the 2018 House of Reps race in ME's 2nd district?,11/10/2018,0.880000,0.880000,0.930000,0.900000,1634
12819,Will a Dem candidate win the 2018 House of Reps race in ME's 2nd district?,11/11/2018,0.900000,0.890000,0.930000,0.920000,1595
12819,Will a Dem candidate win the 2018 House of Reps race in ME's 2nd district?,11/12/2018,0.920000,0.810000,0.920000,0.840000,2144
12819,Will a Dem candidate win the 2018 House of Reps race in ME's 2nd district?,11/13/2018,0.840000,0.840000,0.950000,0.950000,3200
12819,Will a Dem candidate win the 2018 House of Reps race in ME's 2nd district?,11/14/2018,0.950000,0.890000,0.950000,0.890000,1481
12819,Will a Dem candidate win the 2018 House of Reps race in ME's 2nd district?,11/15/2018,0.890000,0.890000,0.990000,0.990000,16793
12819,Will a Dem candidate win the 2018 House of Reps race in ME's 2nd district?,11/16/2018,0.990000,0.910000,0.990000,0.980000,2980
12819,Will a Dem candidate win the 2018 House of Reps race in ME's 2nd district?,11/17/2018,0.980000,0.940000,0.990000,0.960000,2081
12819,Will a Dem candidate win the 2018 House of Reps race in ME's 2nd district?,11/18/2018,0.960000,0.960000,0.990000,0.980000,1244
12819,Will a Dem candidate win the 2018 House of Reps race in ME's 2nd district?,11/19/2018,0.980000,0.980000,0.990000,0.990000,1102
12819,Will a Dem candidate win the 2018 House of Reps race in ME's 2nd district?,11/20/2018,0.990000,0.990000,0.990000,0.990000,401
12819,Will a Dem candidate win the 2018 House of Reps race in ME's 2nd district?,11/21/2018,0.990000,0.980000,0.990000,0.980000,681
12819,Will a Dem candidate win the 2018 House of Reps race in ME's 2nd district?,11/22/2018,0.980000,0.980000,0.990000,0.980000,321
12819,Will a Dem candidate win the 2018 House of Reps race in ME's 2nd district?,11/23/2018,0.980000,0.980000,0.990000,0.980000,311
